Generating SQLite file /tmp/nsys-4k.sqlite from /tmp/nsys-4k.nsys-rep
Processing [/tmp/nsys-4k.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     16.0        783715328        648  1209437.2  1186816.0    631104   2057664     220585.9  void mul_mat_q<(ggml_type)21, (int)128, (bool)0>(const char *, const int *, const int *, const int …
     11.2        548840160        296  1854189.7  1822128.0   1479744   2741344     199267.4  void mul_mat_q<(ggml_type)20, (int)128, (bool)0>(const char *, const int *, const int *, const int …
     10.4        509581056       2803   181798.5   150304.0     25568   2732928     236482.3  void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *…
      7.8        382879327       3959    96711.1    48544.0      1024    561952     116608.9  void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigne…
      7.3        359690518        427   842366.6  1245056.0      5375   1727936     600764.7  void gated_delta_net_cuda<(int)128, (bool)0, (bool)0>(const float *, const float *, const float *, …
      5.9        287391744       1281   224349.5   256064.0     11712    465248      84729.4  void mm_ids_helper<(int)0>(const int *, int *, int *, int *, int, int, int, int, int, bool)         
      5.2        255158682       6963    36644.9    15488.0      1024    383744      69114.0  void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigne…
      3.9        190110112       1725   110208.8   109248.0       928    342688      89651.3  void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)
      2.6        129429920       1593    81249.2    42144.0      1952    278624      65043.0  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params)               
      2.6        126396192       1190   106215.3   164288.0      1792    330464      77359.3  void rms_norm_f32<(int)1024, (bool)0, (bool)0>(const float *, float *, int, long, long, long, float…
      2.0         98735712       4856    20332.7     6464.0       992    124128      22064.6  void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long, lo…
      1.9         90979456         94   967866.6   982048.0    516096   1465984     176111.3  void mul_mat_q<(ggml_type)21, (int)112, (bool)0>(const char *, const int *, const int *, const int …
      1.8         89854560        571   157363.5   246016.0      1216    315712     113551.2  void k_bin_bcast<&op_add, float, float, float, const float *, const float *, const float *, const f…
      1.6         77929312        402   193854.0   269920.0     18304    483872     118335.4  void concat_non_cont<unsigned int, (int)0>(const char *, const char *, char *, long, long, long, lo…
      1.5         75610656       1166    64846.2    91152.0      1024    300832      46933.2  void k_bin_bcast<&op_repeat, float, float, float, >(const T2 *, const T3 *, T4 *, unsigned int, uns…
      1.3         61964864         43  1441043.3  1444224.0   1177856   1716704     126594.7  void mul_mat_q<(ggml_type)20, (int)112, (bool)0>(const char *, const int *, const int *, const int …
      1.3         61438048         94   653596.3   617280.0    387296   1176480     147410.3  void mul_mat_q<(ggml_type)21, (int)48, (bool)0>(const char *, const int *, const int *, const int *…
      1.1         53566240        404   132589.7   102512.0     20192   1935584     185936.9  void mul_mat_q<(ggml_type)8, (int)112, (bool)0>(const char *, const int *, const int *, const int *…
      1.1         53344288        108   493928.6   530464.0     21024   1140032     262709.1  void flash_attn_ext_f16<(int)256, (int)256, (int)8, (int)8, (bool)0, (bool)0>(const char *, const c…
      1.0         50572351       1051    48118.3     6656.0       928    221600      59759.5  void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)   
      1.0         49867616        319   156324.8   185472.0      8320    266624      61074.5  void ssm_conv_long_token_f32<(bool)1, (unsigned long)128, (unsigned long)4, (long)32>(const float *…
      1.0         49654720        854    58143.7    62320.0      3040    154432      23495.6  void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)1>(const float *, const int *, void *, long, lo…
      1.0         48921120        766    63865.7    62048.0     58560    176000       9368.1  void mul_mat_q<(ggml_type)8, (int)128, (bool)1>(const char *, const int *, const int *, const int *…
      0.8         40205216       1003    40085.0     8096.0      1408    232928      47283.3  void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float,…
      0.6         29042592         43   675409.1   664832.0    449504   1027360     126044.7  void mul_mat_q<(ggml_type)20, (int)48, (bool)0>(const char *, const int *, const int *, const int *…
      0.6         28835710        404    71375.5    23936.0      9696   1355776     133221.1  void mul_mat_q<(ggml_type)8, (int)48, (bool)0>(const char *, const int *, const int *, const int *,…
      0.5         24993661        195   128172.6    66272.0       960    457024     146119.4  void reduce_rows_f32<(bool)0>(const float *, float *, int)                                          
      0.4         21499961        496    43346.7    21376.0      7680    178368      44891.8  void mul_mat_vec_q<(ggml_type)8, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, con…
      0.4         21326871        496    42997.7    19776.0      7616    186688      44471.5  void mul_mat_vec_q<(ggml_type)8, (int)2, (bool)0, (bool)0, (bool)0>(const void *, const void *, con…
      0.4         20683379       4904     4217.7     2528.0       928     71648       4332.5  scale_f32(const float *, float *, float, float, long)                                               
      0.4         19433536        192   101216.3   105872.0      1376    330528      95156.7  void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, lo…
      0.3         16104768         14  1150340.6  1084112.0    999584   1526272     172569.8  void mul_mat_q<(ggml_type)23, (int)128, (bool)0>(const char *, const int *, const int *, const int …
      0.3         16019295        188    85209.0    82416.0     64512    236032      18445.9  void mul_mat_vec_q_moe<(ggml_type)21, (int)2>(const void *, const void *, const int *, float *, uns…
      0.3         15227676        854    17831.0    23776.0      1120     74208      10961.9  void l2_norm_f32<(int)32>(const float *, float *, int, long, long, long, float)                     
      0.3         14854763       1514     9811.6     8320.0      7008     65792       4078.7  void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)0>(const int *, const int *, float *, f…
      0.3         14606688        331    44129.0    42816.0     37504    123360       7320.3  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_tn_align4>(T1::Params)              
