procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 468840 31827472  37784 93249076   82  221 26850  1822 2664    1  2  1 97  0  0  0
 1  0 468840 33764060  38704 91001200    0    0 106816     0 4205 2599  1  3 95  1  0  0
 1  1 468840 33306368  38716 91262456    0    0 261672   136 5800 3658  3  4 92  1  0  0
 2  0 468840 31851972  38716 92703400    0    0 1440616     0 19599 14837  0  8 90  2  0  0
 2  0 468840 30065360  38716 94486784    4    0 1782164     0 21185 13777  0  9 90  2  0  0
 0  1 468840 26101636  38716 98441292    0    0 3952816     0 23374 22082  0  7 91  1  0  0
 1  1 468840 22847956  38716 101682040    0    0 3240560     0 27740 18776  0  4 95  1  0  0
 0  1 468840 19107452  38724 105411960    0    0 3729672    44 29169 18912  0  4 95  1  0  0
 1  0 468840 16442692  38724 108069564    0    0 2657796     0 22374 15503  0  3 95  2  0  0
 1  0 468840 14955068  38724 109549376    0    0 1479884     0 26228 16793  0  4 95  1  0  0
 1  0 468840 13859008  38724 110636608    0    0 1086848     0 30629 19842  0  4 95  1  0  0
 1  0 468828 12948884  38724 111540308   28    0 902264     0 13718 10954  0  3 95  3  0  0
 2  0 468828 11853032  38732 112621820    0    0 1082136    52 18506 13347  0  3 95  2  0  0
 1  0 468828 10049340  38732 114413668    0    0 1791472     0 19855 16336  0  4 95  1  0  0
 2  0 468828 7014056  38500 104432616    0    0 362924     0 5462 2910  0  7 93  0  0  0
 3  0 468828 8260692  38500 82618384    0    0     0     0 2757 1101  0  7 93  0  0  0
 1  0 468828 7637048  38500 61674024    0    0     0     0 2640  900  0  6 94  0  0  0
 2  0 468828 7988304  38508 53321616    0    0     0    48 3804  799  0 10 90  0  0  0
 2  0 468828 8664812  38508 52311912    0    0     0     0 2674  477  0  7 93  0  0  0
 2  0 468828 8474840  38508 52438556    0    0 127124     0 5933 3890  3  8 89  0  0  0
 2  0 468828 8456660  38508 52455616    0    0 16672     0 8021 8711  5  6 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 468828 8444900  38508 52469380    0    0 13744     0 9406 11556  5  6 88  1  0  0
 1  1 468828 8427584  38516 52484352    0    0 15216    44 9699 11802  4  6 88  1  0  0
 1  1 468828 8327016  38516 52578612    0    0 94264     0 29636 47536  0  6 90  3  0  0
 3  0 468828 8182524  38516 52711908    0    0 133352     0 34513 61151  1  7 90  2  0  0
 1  0 468828 8042392  38516 52852760    0    0 140468     0 6308 5355  5  5 90  0  0  0
 1  0 468828 7847868  38516 53044960    0    0 192456     0 5610 4815  5  2 93  0  0  0
 2  0 468828 7414884  38524 53479292    0    0 435024    72 5430 4332  4  2 94  0  0  0
 2  0 468828 7401092  38524 53491292    0    0 11984     0 3380 3458  5  1 93  0  0  0
 3  0 468828 7385444  38524 53505840    0    0 13920     0 5691 6954  5  1 93  0  0  0
 2  0 468828 7347908  38524 53541596    0    0 35912     0 13103 21698  5  2 93  0  0  0
 1  0 468828 7289204  38524 53599500    0    0 57440     0 18255 32073  5  2 93  0  0  0
 2  0 468828 7237884  38532 53651064    0    0 51560    44 16846 29287  5  2 93  0  0  0
 1  0 468828 7112652  38532 53768360    0    0 117472     0 43922 61422  3  2 94  1  0  0
 0  1 468828 6846792  38536 54013596    0    0 245208   192 103223 123012  0  2 96  2  0  0
 1  1 468828 6742392  38536 54121808    0    0 108180     0 25792 27669  4  2 93  1  0  0
 2  0 468828 6721828  38536 54165384    0    0 43420     0 14942 25287  5  2 93  0  0  0
 1  0 468828 6522760  38544 54363140    0    0 197760    56 6526 5761  5  2 93  0  0  0
 1  0 468828 4737560  38548 56152360    0    0 1789192     0 11285 7016  2  3 94  1  0  0
 1  0 468828 4068248  38548 56917788    0    0 1383684     0 9775 6343  4  3 93  0  0  0
 1  1 468828 3968700  38548 57015724    0    0 97852     0 4266 3989  5  1 93  0  0  0
 2  0 468828 3884368  38548 57098604    0    0 82704     0 4639 4629  5  1 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 468828 3123596  38556 57857628    0    0 759024    44 7520 5172  4  2 93  0  0  0
 1  0 468828 3628548  38556 57351652    0    0 130236     0 5856 5562  5  2 93  0  0  0
 1  0 468828 3424044  38556 57553384    0    0 201728     0 6076 5386  5  1 94  0  0  0
 2  0 468828 3554652  38556 57446952    0    0 879408     0 11527 6345  4  6 90  0  0  0
 2  0 468888 3560508  38544 57490392    0 1960 180480  1960 9564 5521  5  7 88  0  0  0
 3  0 469276 4067944  38552 56986244    4 1188 70404  1232 6672 3433  5  9 86  0  0  0
 2  0 469676 4349360  29208 56716920    0 2764 504020  2800 7421 3485  3  9 88  0  0  0
 3  0 470580 4627236  28768 56435868    0 3508 356924  3508 7275 4406  3  8 89  0  0  0
 3  0 471296 5182260  28744 55898996    4 10740 74640 10740 6518 4696  5  7 88  0  0  0
 3  0 471356 5872012  28744 55211900    0 1924 41984  1924 4901 1602  5  9 85  0  0  0
 3  0 472168 6506444  28776 54582804    8 3796 48160  3848 5035 1528  5 10 85  0  0  0
 3  0 472288 7167008  28776 53928060    0 4016 37632  4016 4795 1289  5 10 85  0  0  0
 3  0 475064 7252708  17212 53896624    0 29048 65380 29048 5376 1856  5  9 86  0  0  0
 2  0 475068 7550844  17204 53620712   20 10808 83460 10808 3684  844  0 11 89  0  0  0
 2  0 516748 8238504  17180 52985192  116 43256 86808 43256 3609  755  0 10 90  0  0  0
 2  0 630200 8290864  16956 53059300  380 118604 77696 118648 4701 1149  0 10 90  0  0  0
 2  0 630192 8553484  16956 52795808   80   16 77780    16 4824  684  0 10 90  0  0  0
 2  0 630176 9179488  16956 52170016   20    0 69100     0 3765  528  0 10 90  0  0  0
 3  0 630168 9815328  16960 51532208   12    0 69080     0 3704  642  0 10 90  0  0  0
 3  0 630148 10426604  16960 50922120   52    0 72932     0 3506  771  0 10 90  0  0  0
 2  0 630076 11045776  16968 50302016   60    0 70712    44 3930 1172  2 10 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 630060 11480244  16932 49865932   24    0 88060     0 4291 2448  2  8 90  0  0  0
 3  0 630000 11659964  16900 49688868  132   20 93668    20 5752 3656  5  7 87  0  0  0
 4  0 629900 11688052  16900 49655544 5732  228 68936   228 7244 5925  5  8 87  0  0  0
 3  0 630764 12260264  16892 49082020   52 1008 48456  1008 5723 2398  5 10 85  0  0  0
 2  0 630828 12163376  16900 49181960   12 2380 327436  2424 8574 5568  4  9 87  0  0  0
 2  0 630876 12149268  16900 49190464   12  796 48600   796 3655  795  0  9 91  0  0  0
 2  0 695828 12194280  16900 49218888   12 64564 31700 64564 5161  878  0  9 91  0  0  0
 2  0 695848 12506032  16820 48909224  100   72 66592    72 3152  757  0 10 90  0  0  0
 2  1 695988 13045132  16824 48358724   76  236 108696   236 5205 3467  0 10 89  0  0  0
 2  0 696544 13560044  16832 47852204   40  624 152084   668 5166 3676  0 10 89  0  0  0
 3  0 696624 14171624  16832 47242196   68   88 88908    88 3823  855  1 10 89  0  0  0
 2  0 696852 14654392  16824 46762480   40 3080 53816  3080 3911 1101  2 10 88  0  0  0
