procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 482164 34799632   6024 90467296   83  223 29843  1801 2667    1  2  1 97  0  0  0
 1  0 482188 35532416   7544 89342464    4   32 115272    32 3846 2872  2  3 95  1  0  0
 1  1 482188 34557880   7544 90123248    0    0 780768     0 6926 4161  3  4 92  2  0  0
 2  0 482188 31260300   7544 93418520    0    0 3294984     0 28241 15398  0  8 90  2  0  0
 2  0 481456 26116628   7544 98548180  216    0 5130448     8 36520 22908  0  9 90  1  0  0
 1  0 481456 21091964   7552 103686996    0    0 5137748   220 31079 23884  0  6 93  1  0  0
 0  1 481456 17270308   7552 107498020    0    0 3810896     0 25955 16903  0  4 95  1  0  0
 1  0 481464 14185328   7552 110570492    0    8 4675936     8 24043 20266  0  4 95  1  0  0
 1  0 481504 12355684   7528 112450928    0   40 5175752    40 30739 22884  0  4 95  1  0  0
 1  0 481616 12320136   7268 112462992    0  112 8520788   120 46083 34669  0  5 95  1  0  0
 1  0 481692 12663180   7184 112102032   88   84 8342932   136 39116 33857  0  4 95  1  0  0
 0  1 481740 11786644   7024 112959740    0   68 5988604    68 35111 29971  0  4 95  2  0  0
 1  1 481780 11792924   7024 112942632    0   40 4941696    40 33622 21715  0  3 95  2  0  0
 1  0 481852 11962372   7024 112774084    0   72 6635436    72 30604 27884  0  5 94  1  0  0
 0  1 481924 11658500   7024 113057576    0   72 6958460    72 36191 29083  0  4 94  1  0  0
 1  0 481984 11034188   7024 113665684    0   60 5681788    60 34790 24320  0  4 94  2  0  0
 0  1 482048 11610228   7032 113074080    0   64 6167308   108 26459 25420  0  4 95  1  0  0
 3  0 482080 8504512   7032 110837656    0   32 1081740    32 8509 6382  0  4 94  1  0  0
 2  0 482176 7359564   7016 99814312    0   96     0    96 2635  539  0  9 91  0  0  0
 3  0 482216 7284152   7016 92792328    0   40     0    40 3056  555  0 10 90  0  0  0
 2  0 483196 7284152   7036 91235920    4 1476   524  1528 3793  821  0 11 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 483896 7284104   7048 90432564    0  820    52   872 3412  592  0 10 89  0  0  0
 2  0 484256 7283980   7860 89703708  244  688  1276   688 3566  743  0 11 89  0  0  0
 2  0 484268 7283844   7836 88839524   32   12  1380    12 3695  676  0 11 89  0  0  0
 2  0 484268 7284200   7840 88090664    0    0  1100     0 3553  706  0 11 89  0  0  0
 2  0 484260 7284216   7840 87389024    8    0   384     0 3667  711  0 11 89  0  0  0
 2  1 484260 7283868   7840 86660272    0    0  2472    72 4773 1728  0 11 88  0  0  0
 2  0 484260 7624204   5564 86040020    0    0    32     0 3323  635  0  9 90  0  0  0
 3  0 582924 7548800   5536 85521416  340 100736 11032 100820 9577 5937  0 11 88  1  0  0
 4  0 583376 7281516   6212 84725676   36 1012  1576  1024 4951 1022  0 11 89  0  0  0
 3  0 583388 7282092   6568 83871268   12   88  3856    88 5108 1575  0 11 89  0  0  0
 5  0 631904 7282236   5480 83098244   28 48692  6296 48708 8038 3852  0 13 86  0  0  0
 2  0 703688 7282188   5476 82499980   28 74292    28 74424 4169  743  0  9 91  0  0  0
 3  0 711704 7283816   6092 81851040 1884 7972  6168  7972 6262 2459  0 13 86  0  0  0
 3  0 712172 7277920   6088 81040980   40  868  5780   868 6372 3251  0 15 84  0  0  0
 4  0 712532 6978208   5976 80453072  876 3864  2808  3864 4933 1705  0 11 89  0  0  0
 2  0 712824 7023188   5968 80196964  444 2604  5160  2604 4205 1125  0  8 92  0  0  0
 3  0 712804 7047992   6448 79301204   84    4 12476    24 6976 5702  0 14 85  1  0  0
 3  0 712828 7047792   6252 78636100   16   28  1156    28 3575  933  0 11 89  0  0  0
 2  0 712392 7048016   6580 78535544 2048    0  8872     0 9507 2030  0 20 80  0  0  0
