procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 476916 33832144  12008 91417360   83  223 28312  1816 2672    1  2  1 97  0  0  0
 2  0 476756 33130716  13172 91570832  192    0 111032     0 4195 2857  2  5 92  1  0  0
 2  0 476756 29485748  13180 95163496    0    0 3591864   228 17503 16316  2  7 90  1  0  0
 1  0 476608 25934284  13548 98704280  388    0 3540932     0 30451 13694  0  9 90  0  0  0
 1  0 476608 19187508  13548 105437156    0    0 6732840     0 32823 28417  0  4 95  0  0  0
 2  0 476576 17197344  13364 107539532    4    0 5116000   568 31237 21435  0  5 94  0  0  0
 1  0 476576 16703928  13364 108052124    0    0 5073748     0 30754 21526  0  5 94  0  0  0
 1  0 476576 13934680  13372 110811704    0    0 2758840    80 28581 16113  0  7 92  1  0  0
 0  1 476576 13986412  13372 110752120    0    0 3045876     0 35944 18683  0  6 93  1  0  0
 1  0 476564 13009492  13372 111720016    8    0 2528536     8 37126 11212  0  5 94  0  0  0
 3  0 476556 11024752  13372 108430388    4    0 1378068     0 12931 7470  0  6 94  0  0  0
 1  0 476556 8196016  13372 98353356    0    0     0   148 2872  758  0  8 91  0  0  0
 1  0 476556 5878532  13380 85671060    0    0     0    60 2467  914  0  6 94  0  0  0
 1  0 476556 6057220  13380 63923176    0    0     0     0 2360  563  0  6 94  0  0  0
 4  0 476556 7641616  13380 53818276    0    0     0     0 2894  565  0  8 92  0  0  0
 2  0 476556 7186896  13380 53884684    0    0 66492     0 3035  683  0  8 92  0  0  0
 2  0 476556 6557004  13380 54508196    4    0 623772     0 9507 6823  5  7 89  0  0  0
 5  0 476556 6396628  13388 54672016    0    0 163968    48 8459 7502  5  7 88  0  0  0
 2  0 476556 5856852  13388 55323344    0    0 1505768     0 12259 7590  3  7 89  0  0  0
 2  0 476556 6567220  13388 54613508    0    0 489772     0 8652 7236  5  3 92  0  0  0
 3  0 476564 7748124  13388 53459664    4    8 167940     8 7639 6095  5  5 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 476564 7649488  13388 53558056    0    0 98048     0 7952 2374  5  9 86  0  0  0
 3  0 476564 7542860  13396 53664044    0    0 106240    76 8849 3487  5  9 86  0  0  0
 2  0 476584 7656584  13380 53549432    0    4 86032   352 7519 3231  5  9 86  0  0  0
 2  0 476616 7281788  13380 53923520    0   44 486808    44 7542 4890  4  7 89  0  0  0
 2  0 476616 7412160  13344 53790256    0    0 539620     0 6635 2505  1  9 89  0  0  0
 2  0 476612 7797640  13344 53401624    4    0 176900     0 7304 6394  5  7 88  0  0  0
 3  0 476504 8397308  13352 52805272   92    0 50524   100 5556 2964  5  9 86  0  0  0
 3  0 476504 8366160  13352 52747512    0    0 89344     0 4755 3803  5  4 90  0  0  0
 2  0 476464 8704400  13352 52498376    8    0 289460     0 5382 1370  1 11 88  0  0  0
 1  0 476464 8730432  13352 52465864    0    0 336072     0 6716 3843  3 11 86  0  0  0
 3  0 476464 8638064  13352 52555728    0    0 89736     0 4537 5068  5  2 93  0  0  0
 2  0 476464 8416424  13360 52644832    0    0 89060    52 6183 6140  5  5 90  0  0  0
 2  0 476464 8339780  13360 52714300   24    0 69512     0 6547 6165  5  6 88  0  0  0
 2  0 476464 7926724  13360 53123092    0    0 408836     0 7443 6379  3  8 89  0  0  0
 2  0 476464 7714712  13360 53332172    0    0 209024     0 7914 7197  5  7 88  0  0  0
 1  0 476464 7476924  13360 53571020    0    0 238592     0 7484 6937  5  4 91  0  0  0
 1  0 476464 6975996  13368 54069828    0    0 498808    48 6354 5958  4  2 94  0  0  0
 1  0 476464 6964760  13368 54079044    0    0  9216     0 3632 4207  5  1 94  0  0  0
 1  0 476464 6252964  13368 54787712    0    0 708668     0 6107 4632  4  2 94  0  0  0
 3  0 476464 6251480  13368 54787712    0    0     0     0 3747 4277  5  1 94  0  0  0
 2  0 476464 5629144  13368 55548944    0    0 762176     0 7749 6389  4  4 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 476448 5689660  13376 55495456    8    0 479192    48 5862 3052  0 10 89  0  0  0
 1  0 476448 6031460  12644 55153588    0    0 98368     0 4130 1693  1 10 89  0  0  0
 3  0 476448 6163612  12644 55019856    0    0 701216     0 6724 1379  0 13 86  0  0  0
 2  0 476448 6463656  12644 54719244    0    0 195104     0 6597 4744  5  7 88  0  0  0
 2  0 476444 6301184  12644 54881756    0    0 162512     0 5450 4398  5  4 91  0  0  0
 2  0 476444 5720872  12652 55453592    0    0 571656   148 7960 5816  4  7 89  0  0  0
 2  0 476444 5966844  12548 55215896    0    0 179264     0 4124  849  0 12 88  0  0  0
 2  0 476444 6554744  12548 54626788    0    0 74728     0 3367  527  0 10 90  0  0  0
 3  0 476460 7039752   6876 54149032    0   40 72388    40 3446  631  0 10 89  0  0  0
 3  0 476460 6978952   7556 54207040    0    8 85416     8 5577 1907  4 12 85  0  0  0
 3  0 648488 7141544   7564 54213160   20 171424 164448 171480 13493 13940  5 11 84  0  0  0
 1  0 685404 6915316   7964 54458888   92 37056 245912 37056 8079 7128  5  5 90  0  0  0
 5  0 685760 6785064   7952 54616336    4 1044 185792  1072 4149 1432  1  9 90  0  0  0
 4  0 687172 6798392   7940 54611216    8 5936  9428  5936 2960  806  0  6 93  0  0  0
 3  0 690304 6983604   7276 54428084   48 3000 215836  3012 4698 1147  0 11 89  0  0  0
 5  1 690304 7102516   7256 54309596    4    0 189300    56 4038  889  0 11 88  0  0  0
 3  0 690208 7133868   7256 54273300 1292   20 171964    20 8705 7133  0 12 87  1  0  0
 3  0 697700 7019764   6840 54397620   24 8048 350808  8048 5938 1716  1 13 86  0  0  0
 3  0 697680 7380168   6820 54037908   60    0 270524     0 4938  988  0 13 87  0  0  0
 2  0 697660 7968060   6732 53450624   60    0 184236     0 4024  844  0 11 89  0  0  0
 2  0 698328 8574860   6740 52843576   40  708 320100   756 5437  944  0 13 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 698748 8827200   6740 52592568   72 1408 347756  1408 6896 4008  1 12 87  0  0  0
 2  0 698964 8969744   7008 52450096   44  700 447972   700 5637 1037  0 14 86  0  0  0
 1  0 698872 8901404   6952 52516944  340    4 210956     4 6018 3697  4  8 88  0  0  0
 2  0 698848 8761356   6952 52523560   84    0  6700     0 4892 4196  5  5 90  0  0  0
 2  0 698832 8744136   6960 52533264   40    0 10080    48 5346 4392  5  6 88  0  0  0
 2  0 698816 8716728   6960 52556564   72    0 23212     0 5537 4784  5  6 89  0  0  0
 2  0 698792 8714392   6960 52566748   52    0 10036     0 5620 4660  5  6 89  0  0  0
 1  0 698772 8579944   6960 52698436   56    0 131632     0 5956 4905  5  2 92  1  0  0
 2  0 698568 8387896   6960 52889880  288    0 191060     0 7258 6556  5  2 92  1  0  0
 2  0 698552 8213428   6968 53064208  100    0 174280    48 7143 6141  5  2 92  0  0  0
 2  0 698372 8099696   6968 53177520   92    0 113524     0 7001 6146  5  2 92  0  0  0
 1  1 698368 7955380   6968 53320564   12    0 142700     0 7570 6644  5  2 92  1  0  0
 1  0 698356 7933412   6968 53341780    0    0 21200     0 5030 4587  5  2 93  0  0  0
 2  0 698352 7927148   6976 53346352   48    0  4612    64 5287 5111  5  2 93  0  0  0
 3  0 698348 7922880   6976 53349500    4    0  3148     0 5235 5281  5  1 93  0  0  0
 1  0 698328 7906300   6976 53363796   32    0 14316     0 4533 4112  5  2 93  0  0  0
 1  0 698328 7903036   6976 53366388    4    0  2596     0 4439 4663  5  1 93  0  0  0
 1  0 698316 7894524   6976 53369576   12    0  3200     0 4477 4428  5  2 93  0  0  0
 2  0 698104 7869880   7932 53392036  964    0 24340    76 5436 5064  5  2 93  0  0  0
 1  0 698100 7839772   7932 53419492    0    0 27780     0 5556 5491  5  2 93  0  0  0
 1  0 698100 7753620   7932 53504836    0    0 84908     0 6258 6196  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 698088 7703108   7932 53554616   36    0 49664     0 5855 5826  5  2 93  0  0  0
 2  0 698072 7644832   7932 53610980    0    0 56416     0 5629 5851  4  2 94  0  0  0
 1  0 698056 7600916   7940 53655208    0    0 44200    48 5582 5413  5  2 93  0  0  0
 2  0 698056 7548744   7944 53707108   52    0 51908    36 5654 5139  5  2 93  0  0  0
 1  0 698056 7369724   7944 53886704    0    0 179780    44 7361 5866  5  2 92  0  0  0
 1  0 698056 7199764   7944 54056988    0    0 169844     0 7385 5720  5  2 92  0  0  0
 2  0 698052 7086672   7944 54168052    4    0 110988     0 6252 5238  5  2 92  0  0  0
 1  0 698032 6963604   7952 54290596   28    0 122500    56 6343 5224  5  2 92  0  0  0
 2  0 698032 6834512   7952 54418952   12    0 128272     0 6731 5649  5  2 92  0  0  0
 1  0 698032 6670340   7952 54583444   44    0 164412     0 7383 5746  5  2 92  0  0  0
 1  0 698028 6434252   7952 54818488   12    0 234920     0 7805 5638  5  2 93  1  0  0
 2  0 698024 6275760   7952 54976496    4    0 157896     0 7239 5942  5  2 92  0  0  0
 1  0 698024 6085624   7960 55166528    8    0 189904    48 7627 6204  5  2 92  1  0  0
 1  0 698020 5897116   7964 55357152   28    0 190652     0 7931 6081  5  2 92  1  0  0
 3  0 698020 5691996   7964 55561944    0    0 204792     0 9872 5342  5  2 92  0  0  0
 1  0 698012 5542920   7964 55710628   40    0 148772     0 6176 4844  5  2 93  0  0  0
 2  0 698004 5334588   7964 55917968   36    0 207324     0 7291 5436  5  2 92  0  0  0
 1  0 698000 5101468   7972 56150096    8    0 232136    48 7788 5148  5  2 92  0  0  0
 1  0 698000 4822272   7972 56430176   32    0 280108     0 8651 5535  5  2 93  0  0  0
 2  0 698000 4636704   7972 56615092    0    0 184916     0 6327 4793  5  2 92  0  0  0
 1  0 698000 4387344   7972 56864032    0    0 248940     0 7368 5155  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 698000 4202172   7972 57049324   32    0 185324     0 6181 4578  5  2 93  0  0  0
 1  1 698000 4039188   7980 57212340    0    0 163024    48 5897 4684  5  2 92  0  0  0
 2  0 698000 3805392   7980 57445344   12    0 233008     0 7300 5101  5  2 93  0  0  0
 1  0 697996 3590468   7980 57660016    4    0 215056     0 8153 6623  5  2 92  1  0  0
 2  0 697992 3593936   7972 57659548   16    0 221004     0 12425 13617  5  3 91  0  0  0
 2  0 697996 3987644   7716 57265128    0    4 162652     4 12571 14350  5  5 89  0  0  0
 1  0 697996 3698508   7724 57552792   16    0 287908    48 9255 7263  5  2 92  1  0  0
 2  0 697984 3442464   7724 57808208  256    0 255516     0 8360 6092  5  2 92  1  0  0
 2  0 697964 3201456   7724 58046896   44    0 238680     0 9729 8526  5  2 92  1  0  0
 4  0 697964 3396796   7676 57855908    4    0 205220     0 15468 19486  5  5 90  0  0  0
 2  0 698664 4138652   7100 57108796   88 1260 271838  1260 12195 9413  5  7 88  0  0  0
 2  0 698660 3889368   7108 57355876   12    0 246744    60 5995 5296  5  2 93  0  0  0
 1  0 698660 3637160   7108 57608000   16    0 252140     0 6107 5524  5  2 93  0  0  0
 3  0 698660 3353152   7120 57890892    0    0 282836    36 6436 5716  5  2 93  0  0  0
 1  1 699332 3056780   6744 58191568   12  804 301764   804 7400 5951  5  3 92  0  0  0
 2  0 699324 3074052   6744 58213424   24    0 26612     0 4293 1587  0 10 90  0  0  0
 2  0 690028 4005664   9344 56591596 29520  272 44692   272 10882 7555  1 10 88  1  0  0
 0  0 690668 5001548   8604 55444596 2004 2144  7748  2288 2571 1406  1  4 95  0  0  0
 1  0 690572 4632248  12140 55551596 13024    0 123648     0 6293 8482  2  1 96  1  0  0
 0  1 690568 4263116  12572 55654872  352    0 103620     0 9404 16060  2  1 95  2  0  0
 1  0 690532 4216332  12572 55687788  108    0 32600     0 9599 16710  3  0 95  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
